classification,recordedBy,recordNumber,eventDate,country,stateProvince,city,county,locality,decimalLatitude,decimalLongitude,minimumElevationInMeters,habitat,habit,kingdom,chineseKingdomName,family,chineseFamilyName,genus,chineseGenusName,identificationID,vernacularName,scientificName,identifiedBy
Angiospermae,"董洪进|6571,余姣君",HJD2409,2023-11-01 12:17:00,中国,湖北省,黄冈市,黄梅县,六渡河村,30.2062116,115.8184410,399,沟谷,藤本,Angiospermae,被子,Rhamnaceae,鼠李科,Sageretia,雀梅藤属,46406,雀梅藤,Sageretia thea,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2408,2023-11-01 12:09:00,中国,湖北省,黄冈市,黄梅县,六渡河村,30.2058950,115.8181302,404,沟谷,乔木,Angiospermae,被子,Celastraceae,卫矛科,Euonymus,卫矛属,20201,大果卫矛,Euonymus myrianthus,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2407,2023-11-01 11:56:00,中国,湖北省,黄冈市,黄梅县,六渡河村,30.2058538,115.8180400,421,沟谷,藤本,Angiospermae,被子,Rubiaceae,茜草科,Morinda,巴戟天属,540945,羊角藤,Morinda umbellata subsp. obovata,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2406,2023-11-01 09:15:00,中国,湖北省,黄冈市,蕲春县,青石镇八斗舍水库,30.1982932,115.7308234,688,沼泽,草本,,,,,,,,,结状飘拂草,
Angiospermae,"董洪进|6571,余姣君",HJD2405,2023-10-31 15:22:00,中国,湖北省,黄冈市,蕲春县,狮子镇百丈冲-柯家湾,30.5115157,115.5956955,282,沟谷,草本,Angiospermae,被子,Urticaceae,荨麻科,Elatostema,楼梯草属,505,楼梯草属,Elatostema,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2404,2023-10-31 14:30:00,中国,湖北省,黄冈市,英山县,南河镇薛家畈七丈岩,30.5553744,115.6631330,232,沟谷,草本,Angiospermae,被子,Poaceae,禾本科,Leersia,假稻属,65957,秕壳草,Leersia sayanuka,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2403,2023-10-31 11:08:00,中国,湖北省,黄冈市,蕲春县,南河镇仙人台,30.5474675,115.6898751,777,沟谷,藤本,Angiospermae,被子,Loganiaceae,马钱科,Gardneria,蓬莱葛属,90635,蓬莱葛,Gardneria multiflora,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2402,2023-10-31 10:36:00,中国,湖北省,黄冈市,英山县,南河镇仙人台,30.5417208,115.6680149,818,沟谷,乔木,Angiospermae,被子,Verbenaceae,马鞭草科,Ligustrum,女贞属,521,女贞属,Ligustrum,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2401,2023-10-31 10:26:00,中国,湖北省,黄冈市,英山县,南河镇仙人台,30.5478339,115.6907137,818,沟谷,草本,Angiospermae,被子,Acanthaceae,爵床科,Asystasiella,白接骨属,85157,白接骨,Asystasiella neesiana,董洪进
Angiospermae,"董洪进|6571,余姣君",HJD2400,2023-10-30 16:23:00,中国,湖北省,黄冈市,浠水县,三角山林场胡家沟,30.4980829,115.5724009,419,沟谷,,Angiospermae,被子,Lauraceae,樟科,Phoebe,楠属,10765,紫楠,Phoebe sheareri,董洪进
